,Threshold_Value,Accuracy,Precision,Recall,F1_Score,Sensibility,Specifity
50,0.25,0.8860004794713308,0.3170731707317073,0.29252782193958665,0.30430634183576105,0.29252782193958665,0.058704222784348614
51,0.255,0.8873659304349639,0.3193623746049196,0.28421181362357834,0.30076355636081276,0.28421181362357834,0.05643672660149035
52,0.26,0.8887834978475907,0.32316640658249396,0.2785862785862786,0.2992250098515697,0.2785862785862786,0.05436293612269549
53,0.265,0.8903469913173996,0.32799882542945236,0.27320533202886144,0.2981051507872965,0.27320533202886144,0.0521524122057383
54,0.27,0.8914414367462659,0.33060853769300635,0.2670906200317965,0.2954745315565176,0.2670906200317965,0.05038627196280854
55,0.275,0.8925984219139245,0.33431998753699954,0.26244343891402716,0.2940531652507537,0.26244343891402716,0.04868849843895995
56,0.28,0.8936407508937971,0.33734553041245385,0.25706249235661,0.2917823431426985,0.25706249235661,0.047047697181012316
57,0.28500000000000003,0.8946309634246761,0.3393213572854291,0.2494802494802495,0.2875466910987385,0.2494802494802495,0.04525876803172213
58,0.29,0.895892181490322,0.3437446074201898,0.24361012596306714,0.2851417119954194,0.24361012596306714,0.043333105444269715
59,0.295,0.8967573145436163,0.3463180362860192,0.2381068851657087,0.28219436191028335,0.2381068851657087,0.041874615437205165
60,0.3,0.8979768394500672,0.3518484458340997,0.23394888100770453,0.28103422946966355,0.23394888100770453,0.04015405300699615
61,0.305,0.8988940889523551,0.3552556548184756,0.2285679344502874,0.2781663938086025,0.2285679344502874,0.038649985187210856
62,0.31,0.8998217617444417,0.35952194357366773,0.22440993029228323,0.2763346133574279,0.22440993029228323,0.03724846744604726
63,0.315,0.9004054659731705,0.3609765940274415,0.2187843952549835,0.2724434630320567,0.2187843952549835,0.03608623322166771
64,0.32,0.9011142496794838,0.3642205638474295,0.21487097957686194,0.27028690100761477,0.21487097957686194,0.03494678790364847
65,0.325,0.9018543032551934,0.36765648365733816,0.21046838693897518,0.2676932648934516,0.21046838693897518,0.03372758141336796
66,0.33,0.9026777431492928,0.37213403880070545,0.2064326770209123,0.2655549437583576,0.2064326770209123,0.03245140265718649
67,0.335,0.9032718706678202,0.3751980085992306,0.20276384982267334,0.2632581771991108,0.20276384982267334,0.031460085230509804
68,0.34,0.903813881737354,0.37747726742830495,0.1979943744649627,0.25974651050858333,0.1979943744649627,0.030423189991112376
69,0.34500000000000003,0.9044913955742712,0.3814903846153846,0.19408095878684115,0.25727486422955337,0.19408095878684115,0.029317928032633667
70,0.35000000000000003,0.9047728243988368,0.3815756977031366,0.1889446007093066,0.2527400621626043,0.1889446007093066,0.02853171076320049
71,0.355,0.9052835655989744,0.38428280773143436,0.18478659655130245,0.24956643818647287,0.18478659655130245,0.027585971149244548
72,0.36,0.905867269827703,0.3881027253668763,0.18111776935306348,0.24697740348536645,0.18111776935306348,0.026606048175748076
73,0.365,0.9062529315502559,0.3896840399675938,0.17647058823529413,0.2429292929292929,0.17647058823529413,0.02575146418723362
